palabras_procesadas,caracteres_totales,porcentaje_caracteres_escritos,tiempo_total_ms,tiempo_por_palabra_ms,tiempo_por_caracter_ms
1,8,100.000000,0.095,0.094900,0.011862500
2,11,100.000000,0.572,0.286000,0.052000000
4,18,100.000000,0.900,0.225100,0.050022222
8,24,100.000000,1.214,0.151800,0.050600000
16,64,100.000000,1.521,0.095056,0.023764063
32,148,97.972973,1.850,0.057803,0.012497973
64,321,88.161994,2.223,0.034730,0.006924299
128,660,84.393939,2.643,0.020648,0.004004545
256,1331,85.274230,3.237,0.012644,0.002431931
512,2631,79.285443,3.889,0.007596,0.001478107
1024,5240,73.053435,4.405,0.004302,0.000840630
2048,10649,75.518828,6.310,0.003081,0.000592572
4096,21348,79.834177,10.182,0.002486,0.000476958
8192,49801,80.606815,14.683,0.001792,0.000294835
16384,92245,82.607187,17.753,0.001084,0.000192458
32768,176047,82.432532,22.506,0.000687,0.000127839
65536,342224,82.349280,31.408,0.000479,0.000091777
131072,682475,81.542621,49.329,0.000376,0.000072279
262144,1342681,81.912755,82.682,0.000315,0.000061580
524288,2676605,82.356044,126.760,0.000242,0.000047359
1048576,5331079,83.035686,196.631,0.000188,0.000036884
2097152,10666905,83.675246,355.219,0.000169,0.000033301
4194304,21369648,84.503334,655.527,0.000156,0.000030676
